Category,Key Term,Description
General,Peace Officer,"An individual authorized by law to enforce laws and maintain public order. Peace officers, such as police officers, sheriff's deputies, and other law enforcement personnel, have the legal authority to make arrests, conduct investigations, and ensure the safety of the community."
General,Police Killing,"Police Killings refer to instances where law enforcement officers cause the death of individuals on or off duty, often involving the use of force."
Law Enforcement Agency,Constable's Office,"A law enforcement agency responsible for serving legal documents, such as court orders and subpoenas, and providing security for courts. Constables are typically elected officials, and their offices operate at the Parish level."
Law Enforcement Agency,Local Marshal's Office,"A law enforcement agency responsible for various tasks such as serving warrants, executing court orders, providing security for courts, and handling evictions. The duties and responsibilities of local marshals can vary depending on the jurisdiction."
Law Enforcement Agency,Police Department,"A division or unit within a local government responsible for maintaining public order, preventing and investigating crimes, and enforcing laws within a specific jurisdiction. Police departments typically have officers trained to handle various types of emergencies and law enforcement tasks."
Law Enforcement Agency,Sheriff's Office,"The law enforcement agency responsible for maintaining law and order within a Parish. The sheriff's office often has jurisdiction over rural areas and unincorporated communities, and the sheriff is an elected official who oversees the agency."
Law Enforcement Agency,University Campus Police,A specialized law enforcement agency responsible for maintaining safety and security on the campus of a university or college. Campus police officers have jurisdiction within the campus boundaries and handle a range of law enforcement and community-oriented tasks.
Law Enforcement Agency,Other Law Enforcement Agencies,"A generic category for law enforcement agencies that are not included in the other categories. This includes state parks, coroners offices, courts, district attorney offices, detention centers, military facilities, and other such agencies."
Repercussion,Arrested,Refers to officers being taken into custody for alleged criminal activities.
Repercussion,Convicted,"An officer has been found guilty in a court of law, typically related to their alleged criminal activities."
Repercussion,Administrative Decertification,The revocation of a law enforcement officer's certification or license to work as a police officer specifically due to failure to attend an annual certification class
Repercussion,Criminal Decertification,The revocation of a law enforcement officer's certification or license to work as a police officer specifically due to criminal charges or convictions.
Repercussion,Demoted,An officer has been demoted from their current position within the law enforcement agency.
Repercussion,External Repercussion,"Consequences or actions taken by external entities, such as legal authorities or oversight organizations, in response to a substantiated case of police misconduct or violence. External repercussions can involve criminal charges, civil lawsuits, or other forms of accountability beyond the law enforcement agency."
Repercussion,Internal Repercussion,"Consequences or actions taken by a law enforcement agency or department against its personnel following a finding of misconduct or violence. Internal repercussions could include disciplinary measures, retraining, or other corrective actions."
Repercussion,Lost Unit Privileges,"Relates to the removal of certain privileges within an officer's unit or division due to misconduct. These can include carrying a gun, having access to a patrol vehicle, and other similar removals of privileges."
Repercussion,Miscellaneous Repercussion,A generic category for repercussions or consequences that do not fit into specific predefined categories.
Repercussion,None Given,No specific repercussions or consequences have been provided for the case or situation.
Repercussion,Pay Reduced,"Signifies a decrease in an officer's salary as a consequence of their actions, typically related to misconduct or violations."
Repercussion,Pending Repercussion,The repercussions or consequences for the case are pending and have not yet been decided or implemented.
Repercussion,Received a Warning,"Indicates instances where officers were formally cautioned regarding their conduct, either verbally or through a written warning."
Repercussion,Received Counseling,"Signifies the provision of guidance or counseling to address behavior or performance concerns, typically aimed at improving an officer's conduct or performance."
Repercussion,Received Training,"Indicates that an officer has been provided with additional training, potentially related to addressing specific issues or improving their performance."
Repercussion,Resigned,Indicates an officer leaving their position voluntarily because of pressure or circumstances related to their allegation.
Repercussion,Suspended,"Points to temporary removal from duty due to alleged misconduct or violations of conduct, typically with the expectation of a return to duty after a specified period or upon meeting certain conditions."
Repercussion,Terminated,"Denotes the permanent dismissal of an officer from their position due to serious breaches of conduct, misconduct, or violations of professional standards."
Repercussion,Transferred to a New Agency,Suggests an officer being moved to a different law enforcement agency due to an allegation in their current role.
