allegation,allegation_classification,allegation_categories,allegation_categories_description
failure to follow sick leave policy,Neglect of Duty and Professionalism,,
failure to perform required duties,Neglect of Duty and Professionalism,,
misconduct,Engaging in Criminal Activity,,
sick leave policy,Neglect of Duty and Professionalism,,
improper performance of duties,Neglect of Duty and Professionalism,,
disrespect of ranking officer,Neglect of Duty and Professionalism,,
failure to obey orders,Neglect of Duty and Professionalism,,
shirking duties,Neglect of Duty and Professionalism,,
unprofessional conduct,Neglect of Duty and Professionalism,,
false arrest,"Improper Stop, Search, or Arrest",,
harassment,General Harassment,,
unauthorized information/documents release,Neglect of Duty and Professionalism,,
failed to answer call for service,Neglect of Duty and Professionalism,,
driver license required,Neglect of Duty and Professionalism,,
failure to cooperate with other police agencies,Neglect of Duty and Professionalism,,
"cds use, sale or transfer",Engaging in Criminal Activity,,
failed to complete/submit required forms,Neglect of Duty and Professionalism,,
obeying orders,Neglect of Duty and Professionalism,,
unlawful traffic stop,"Improper Stop, Search, or Arrest",,
failure to activate mobile video recorder,Improper Use or Destruction of Equipment,,
failed to notify administration of dl status,Neglect of Duty and Professionalism,,
unlawful search,"Improper Stop, Search, or Arrest",,
carrying out orders,Neglect of Duty and Professionalism,,
failure to complete reports in time,Neglect of Duty and Professionalism,,
failure to follow orders,Neglect of Duty and Professionalism,,
failed employee substance abuse test,Engaging in Criminal Activity,,
obstruction,Falsifying Statements and Reports,,
racial profiling,Racial Profiling and Discrimination,,
punctuality,Neglect of Duty and Professionalism,,
malfeasance in office,Engaging in Criminal Activity,,
proper leave required,Other Allegation,,
abuse of power,Other Allegation,,
cooperation between officers,Other Allegation,,
respect of rank,Neglect of Duty and Professionalism,,
failure to activate body camera,Improper Use or Destruction of Equipment,,
driving under suspension,Engaging in Criminal Activity,,
use of force (duty weapon) on pitbull,Excessive Use of Force,,
proper leave required for time off,Neglect of Duty and Professionalism,,
decision making,Neglect of Duty and Professionalism,,
ethics violation,Neglect of Duty and Professionalism,,
stereotyping for traffic stop,Racial Profiling and Discrimination,,
speeding (police unit),Engaging in Criminal Activity,,
use of inappropriate language,Neglect of Duty and Professionalism,,
conduct unbecoming an officer,Neglect of Duty and Professionalism,,
2:7 damaging department equipment - 18,Improper Use or Destruction of Equipment,,
damaging department equipment,Improper Use or Destruction of Equipment,,
3:20 use of force,Excessive Use of Force,,
use of alcohol or controlled substances,Engaging in Criminal Activity,,
2:12 conduct unbecoming an officer - 21,Neglect of Duty and Professionalism,,
3:23 truthfulness 58,Falsifying Statements and Reports,,
command of temper,Neglect of Duty and Professionalism,,
2:14 dmvr violation 68,Other Allegation,,
2:13 respect of fellow officers - 22,Neglect of Duty and Professionalism,,
insubordination,Neglect of Duty and Professionalism,,
2:2 command of temper - 13,Neglect of Duty and Professionalism,,
3:20 use of force (dog shooting),Excessive Use of Force,,
3:20 use of force (accidental discharge),Excessive Use of Force,,
violation of laws,Engaging in Criminal Activity,,
truthfulness,Falsifying Statements and Reports,,
wearing of uniform,Neglect of Duty and Professionalism,,
3:17 carrying out orders 40 general orders (pursuit),Neglect of Duty and Professionalism,,
3:17 carrying out orders,Neglect of Duty and Professionalism,,
3:4 failure to secure property or evidence - 26,Mishandling Evidence,,
2:12 conduct unbecoming an officer 21,Neglect of Duty and Professionalism,,
failure to secure property or evidence,Mishandling Evidence,,
court appearance,Other Allegation,,
2:2 shirking duties - 14,Neglect of Duty and Professionalism,,
3:17 carrying out orders: general orders (pursuit) - 40,Neglect of Duty and Professionalism,,
3:22 violation of known laws,Engaging in Criminal Activity,,
3:17 carrying out orders (pursuit) - 40,Neglect of Duty and Professionalism,,
2:2 command of temper 13,Neglect of Duty and Professionalism,,
2:14 dmvr violation - 68,Neglect of Duty and Professionalism,,
1:7 failure to submit required forms,Falsifying Statements and Reports,,
3:17 carrying out orders (in car camera),Neglect of Duty and Professionalism,,
abuse of sick leave - 66,Neglect of Duty and Professionalism,,
3:7 release of prisoners: allowing escape - 30,Engaging in Criminal Activity,,
1:7 completion/submission of forms 8,Neglect of Duty and Professionalism,,
3:5 unauthorized public statements - 27,Neglect of Duty and Professionalism,,
3:18 insubordination - 43,Neglect of Duty and Professionalism,,
3:23 truthfulness - 58,Falsifying Statements and Reports,,
3:20 use of force 54 soft empty hand,Excessive Use of Force,,
3:17 carrying out orders / general,Neglect of Duty and Professionalism,,
office investigation,Neglect of Duty and Professionalism,,
conduct,Neglect of Duty and Professionalism,,
coo,Other Allegation,,
3:20 use of force (dog bite),Excessive Use of Force,,
shirking,Neglect of Duty and Professionalism,,
domestic violence or harassment,Engaging in Criminal Activity,,
information only,Other Allegation,,
damage to department equipment,Improper Use or Destruction of Equipment,,
carrying out orders / general orders (pursuit) 40,Neglect of Duty and Professionalism,,
3:20 use of force (shooting),Excessive Use of Force,,
3:20 use of force (firearm discharge),Excessive Use of Force,,
release of prisoner/allowing escape,Engaging in Criminal Activity,,
traffic violation,Engaging in Criminal Activity,,
1:8 wearing of uniforms: uniforms - 9,Neglect of Duty and Professionalism,,
2:3 shirking duties 14,Neglect of Duty and Professionalism,,
use of force-shooting,Excessive Use of Force,,
respect of fellow officers,Neglect of Duty and Professionalism,,
2:5 absent without leave - 15,Neglect of Duty and Professionalism,,
3:17 carrying out orders: memorandums - 41,Neglect of Duty and Professionalism,,
traffic violations,Other Allegation,,
submission of forms,Neglect of Duty and Professionalism,,
3:20 use of force 53 hard empty hand,Excessive Use of Force,,
failure to secure property,Mishandling Evidence,,
3:20 use of force: shooting (contact person) - 45,Excessive Use of Force,,
3:22 violation of known laws: reporting arrests or summons - 57,Engaging in Criminal Activity,,
dress code,Neglect of Duty and Professionalism,,
3:19 falsification of documents - 44,Falsifying Statements and Reports,,
3:20 use of force: intermediate weapon - 52,Excessive Use of Force,,
failure to secure property/evidence,Mishandling Evidence,,
special investigation,Other Allegation,,
3:17 carrying out orders: verbal orders - 42,Neglect of Duty and Professionalism,,
personal conduct,Neglect of Duty and Professionalism,,
respect of fellow members,Neglect of Duty and Professionalism,,
completion/submission of forms,Falsifying Statements and Reports,,
2:8 damaging department equipment 18,Improper Use or Destruction of Equipment,,
3:20 use of force 48 shooting (animal),Excessive Use of Force,,
3:20 use of force: shooting (animal) - 48,Excessive Use of Force,,
2:5 awol 15,Neglect of Duty and Professionalism,,
3:22 violation of known laws 56 violations,Engaging in Criminal Activity,,
3:20 use of force: soft empty hand - 54,Excessive Use of Force,,
awol,Neglect of Duty and Professionalism,,
3:20 use of force/hard empty hand 53,Excessive Use of Force,,
use of alcohol,Engaging in Criminal Activity,,
3:15 cowardice - 38,Neglect of Duty and Professionalism,,
3:8 confidentiality - 31,Neglect of Duty and Professionalism,,
3:20 use of force: shooting (non-contact) - 47,Excessive Use of Force,,
3:20 use of force (accidental shooting),Excessive Use of Force,,
release of prisoners/allowing to escape,Engaging in Criminal Activity,,
3:20 use of force 47 shooting (non-contact),Excessive Use of Force,,
interdepartmental cooperation between agencies,Other Allegation,,
fail to secure property,Mishandling Evidence,,
3:4 failure to secure property or evidence 26,Mishandling Evidence,,
failure to provide info to superior,Neglect of Duty and Professionalism,,
3:20 use of force: hard empty hand - 53,Excessive Use of Force,,
3:19 falsification of documents 44,Falsifying Statements and Reports,,
3:9 failure to provide information to superior - 39,Neglect of Duty and Professionalism,,
business confidential,Other Allegation,,
violation of known laws,Engaging in Criminal Activity,,
carrying,Other Allegation,,
simple escape,Neglect of Duty and Professionalism,,
allowing escape/release of prisoner,Engaging in Criminal Activity,,
confidentiality,Neglect of Duty and Professionalism,,
completion and submission of required documents,Neglect of Duty and Professionalism,,
violation of city parish drug/alcohol policy,Neglect of Duty and Professionalism,,
office investigation conduct unbecoming,Neglect of Duty and Professionalism,,
failure to provide information to superior,Neglect of Duty and Professionalism,,
chain of command,Neglect of Duty and Professionalism,,
damaging departmental equipment,Improper Use or Destruction of Equipment,,
3:22 violation of known laws: violations - 56,Engaging in Criminal Activity,,
prisoner escape,Engaging in Criminal Activity,,
failure to provide info to a supervisor,Neglect of Duty and Professionalism,,
failure to provide info to supervisor,Neglect of Duty and Professionalism,,
completion/submission forms,Neglect of Duty and Professionalism,,
completion of req form,Neglect of Duty and Professionalism,,
respect,Neglect of Duty and Professionalism,,
storage of weapons,Improper Use or Destruction of Equipment,,
1:5 punctuality 6,Neglect of Duty and Professionalism,,
excessive force,Excessive Use of Force,,
2:13 respect of fellow officers 22,Neglect of Duty and Professionalism,,
3:20 use of alcohol: drugs,Engaging in Criminal Activity,,
in-custody death,Excessive Use of Force,,
dl suspension,Engaging in Criminal Activity,,
residence and telephone,Other Allegation,,
2:4 abuse of sick leave 66,Neglect of Duty and Professionalism,,
sexual harrassment,Sexual Misconduct and Harassment,,
allowing escape of prisoner,Engaging in Criminal Activity,,
completion of required forms,Neglect of Duty and Professionalism,,
allow prisoner escape,Engaging in Criminal Activity,,
suspended driver's license,Engaging in Criminal Activity,,
allow escape,Engaging in Criminal Activity,,
assocation with known criminals,Engaging in Criminal Activity,,
3:20 use of force 52 intermediate weapon,Excessive Use of Force,,
2:12 conduct unbecoming an officer - 21 (harassment),Neglect of Duty and Professionalism,,
respect fellow members,Neglect of Duty and Professionalism,,
3:14 sexual harassment - 37,Sexual Misconduct and Harassment,,
resisting,Other Allegation,,
3:5 unauthorized,Other Allegation,,
2:9 traffic violations 19,Engaging in Criminal Activity,,
spec,Other Allegation,,
sick leave,Neglect of Duty and Professionalism,,
interdepartmental cooperation,Neglect of Duty and Professionalism,,
use of alcohol or cds,Engaging in Criminal Activity,,
"3,17 carrying out orders / general orders (pursuit) 40",Neglect of Duty and Professionalism,,
submission of report in timely manner,Neglect of Duty and Professionalism,,
submission of reports,Neglect of Duty and Professionalism,,
3:20 use of force (shooting non-contact),Excessive Use of Force,,
3:20 use of force: in custody no officer contact - 64,Excessive Use of Force,,
3:17 carrying out orders / memorandums -41,Neglect of Duty and Professionalism,,
att prisoner escape,Engaging in Criminal Activity,,
3:20 use of force 3:17 soft empty hand 54,Excessive Use of Force,,
appearance,Other Allegation,,
falsification of documents,Falsifying Statements and Reports,,
unauthorized public statements,Neglect of Duty and Professionalism,,
submission of required forms,Neglect of Duty and Professionalism,,
securing evidence,Mishandling Evidence,,
appearance iii sec,Other Allegation,,
completion of forms,Neglect of Duty and Professionalism,,
allowing escape of prisoners,Engaging in Criminal Activity,,
3:21 association with known criminals - 55,Engaging in Criminal Activity,,
submission forms,Neglect of Duty and Professionalism,,
failure to wear uniform,Neglect of Duty and Professionalism,,
failure to notify supervisor,Neglect of Duty and Professionalism,,
1:5 punctuality - 6,Neglect of Duty and Professionalism,,
3:22 violation of known laws / violations - 56,Engaging in Criminal Activity,,
dwi,Engaging in Criminal Activity,,
association with criminals,Engaging in Criminal Activity,,
use of alcohol/drugs,Engaging in Criminal Activity,,
license suspension,Engaging in Criminal Activity,,
2:11 outside agency involvement 67,Neglect of Duty and Professionalism,,
respect fellow officers,Neglect of Duty and Professionalism,,
1:9 chain of command - 63,Neglect of Duty and Professionalism,,
3:20 use of force / shooting (non-contact) 47,Excessive Use of Force,,
dl required,Engaging in Criminal Activity,,
carrying out order,Neglect of Duty and Professionalism,,
escape,Other Allegation,,
3:20 use of force (shooting non-contact animal),Excessive Use of Force,,
conduct unbecomimg,Neglect of Duty and Professionalism,,
2:1 use of alcohol/drugs (drugs) 12,Engaging in Criminal Activity,,
3:13 assault on a member - 36,Excessive Use of Force,,
3:20 use of tobacco,Neglect of Duty and Professionalism,,
allowing escape,Engaging in Criminal Activity,,
fail to report lost or damaged equipment,Improper Use or Destruction of Equipment,,
failure to secure evidence or property,Mishandling Evidence,,
failure to report accident,Neglect of Duty and Professionalism,,
use of department equipment,Improper Use or Destruction of Equipment,,
behavior,Neglect of Duty and Professionalism,,
3:20 use of force (bean bag department oy),Excessive Use of Force,,
3:12 confiscated property 35,Mishandling Evidence,,
3:20 use of narcotics,Engaging in Criminal Activity,,
conduct unbecoming an officer 21,Neglect of Duty and Professionalism,,
code of conduct,Neglect of Duty and Professionalism,,
dereliction of duty,Neglect of Duty and Professionalism,,
rudeness,Neglect of Duty and Professionalism,,
"illegal search, profanity, threats","Improper Stop, Search, or Arrest",,
false arrest;code of conduct,"Improper Stop, Search, or Arrest",,
driving general order,Neglect of Duty and Professionalism,,
duty to know and comply,Neglect of Duty and Professionalism,,
vehicle pursuit,Neglect of Duty and Professionalism,,
vehicle operations;code of conduct,Neglect of Duty and Professionalism,,
illegal stop,"Improper Stop, Search, or Arrest",,
improper search,"Improper Stop, Search, or Arrest",,
unnecessary force,Excessive Use of Force,,
rudeness;professional conduct,Neglect of Duty and Professionalism,,
court attendance,Neglect of Duty and Professionalism,,
excessive forcee,Excessive Use of Force,,
in custody death,Excessive Use of Force,,
dereliction of duty;towing policy,Neglect of Duty and Professionalism,,
code or conduct,Neglect of Duty and Professionalism,,
vehicle operations,Improper Use or Destruction of Equipment,,
rudeness;harrassment,Neglect of Duty and Professionalism,,
dereliction of duty;code of conduct,Neglect of Duty and Professionalism,,
improper search;harassment,"Improper Stop, Search, or Arrest",,
out of jurisdiction,Neglect of Duty and Professionalism,,
violation of state law,Engaging in Criminal Activity,,
ois review,Excessive Use of Force,,
improper conduct,Neglect of Duty and Professionalism,,
code of conduct;dereliction of duty,Neglect of Duty and Professionalism,,
neglect of duty,Neglect of Duty and Professionalism,,
dereliction of duty;rudeness,Neglect of Duty and Professionalism,,
rudeness;unprofessional,Neglect of Duty and Professionalism,,
standards of conduct,Neglect of Duty and Professionalism,,
emergency vehicle operations,Improper Use or Destruction of Equipment,,
pursuit policy,Neglect of Duty and Professionalism,,
mve violation,Engaging in Criminal Activity,,
illegal detention,"Improper Stop, Search, or Arrest",,
failure to investigate,Neglect of Duty and Professionalism,,
rude,Neglect of Duty and Professionalism,,
driving,Improper Use or Destruction of Equipment,,
professional conduct for arrest,Neglect of Duty and Professionalism,,
use of force;ois,Excessive Use of Force,,
illegal stop and search; professional conduct for ticket,"Improper Stop, Search, or Arrest",,
false arrest;rudeness,"Improper Stop, Search, or Arrest",,
sick policy violation,Neglect of Duty and Professionalism,,
improper investigation,Falsifying Statements and Reports,,
towing policy,Neglect of Duty and Professionalism,,
illegal search,"Improper Stop, Search, or Arrest",,
illegal eviction,"Improper Stop, Search, or Arrest",,
rudeness;improper search,"Improper Stop, Search, or Arrest",,
sick policy,Neglect of Duty and Professionalism,,
excessive force;mve violation,Excessive Use of Force,,
unnecessary force;dereliction of duty,Excessive Use of Force,,
rudeness;dereliction of duty,Neglect of Duty and Professionalism,,
excessive force;dereliction of duty,Excessive Use of Force,,
derellction of duty,Neglect of Duty and Professionalism,,
policy violation,Neglect of Duty and Professionalism,,
pursuit violation,Neglect of Duty and Professionalism,,
improper traffic stop,"Improper Stop, Search, or Arrest",,
inappropriate comment,Neglect of Duty and Professionalism,,
code of conduct;unprofessional,Neglect of Duty and Professionalism,,
child pornography,Engaging in Criminal Activity,,
conduct unbecoming of an officer,Neglect of Duty and Professionalism,,
failure to report in a timely manner,Neglect of Duty and Professionalism,,
cruelty to animals,Excessive Use of Force,,
dissemination of information,Neglect of Duty and Professionalism,,
consuming narcotics,Engaging in Criminal Activity,,
accidential property damange,Improper Use or Destruction of Equipment,,
property damage,Improper Use or Destruction of Equipment,,
arrested by another agency,Engaging in Criminal Activity,,
use of firearms,Excessive Use of Force,,
traffic complaint,Other Allegation,,
false accusation,"Improper Stop, Search, or Arrest",,
battery on an officer,Excessive Use of Force,,
drug use,Engaging in Criminal Activity,,
courtesy complaint,Neglect of Duty and Professionalism,,
suspected drug use,Engaging in Criminal Activity,,
harrassment,Neglect of Duty and Professionalism,,
conduct unbecoming/courtesy,Neglect of Duty and Professionalism,,
unsatisfactory performance,Neglect of Duty and Professionalism,,
harrasment,Neglect of Duty and Professionalism,,
introduction of contraband into a penal institution,Engaging in Criminal Activity,,
indecent behavior with juvenile,Engaging in Criminal Activity,,
excess use of force,Excessive Use of Force,,
false accusations,"Improper Stop, Search, or Arrest",,
dishonesty,Falsifying Statements and Reports,,
denham springs police department general order 10,Other Allegation,,
denham springs police department general order 26,Other Allegation,,
denham springs police department general order 20,Other Allegation,,
denham springs police department general order 24,Other Allegation,,
denham springs police department general order 2,Other Allegation,,
denham springs police department policy order 423,Other Allegation,,
denham springs police department general order 43,Other Allegation,,
denham springs police department general order 42,Other Allegation,,
denham springs police department directive 26007,Other Allegation,,
denham springs police department general order 3,Other Allegation,,
denham springs police department general order 41,Other Allegation,,
denham springs police department policy order 320,Other Allegation,,
denham springs police department policy order 300,Other Allegation,,
denham springs police department policy order 506,Other Allegation,,
conduct unbecoming 01-01.06,Neglect of Duty and Professionalism,,
false statements 01-01.17,Falsifying Statements and Reports,,
conformance to laws 01-01.04,Engaging in Criminal Activity,,
01-01.06: conduct unbecoming,Neglect of Duty and Professionalism,,
use of force 01-01.21,Excessive Use of Force,,
interference 01-01.20,Other Allegation,,
unsatisfactory performance 01-01.14,Neglect of Duty and Professionalism,,
01-01.18: dissemination of information,Neglect of Duty and Professionalism,,
01-01.10: Failure to Upload Professionalism and Performance,Neglect of Duty and Professionalism,,
relations with other commissioned officers 01-01.35,Neglect of Duty and Professionalism,,
neglect of duty 01-01.12,Neglect of Duty and Professionalism,,
Failure to Upload Professionalism and Performance 01-01.10,Neglect of Duty and Professionalism,,
prohibited behavior 03-06.01,Neglect of Duty and Professionalism,,
attendance requirement 02-04.03,Neglect of Duty and Professionalism,,
04-01.05: vehicle usage,Improper Use or Destruction of Equipment,,
lawful orders 01-01.15,Other Allegation,,
use of firearms 04-03.04,Excessive Use of Force,,
dissemination of information 01-01.18,Neglect of Duty and Professionalism,,
associations 01-01.42,Other Allegation,,
01-01.21: use of force,Excessive Use of Force,,
vehicle use limitations 04-01.06,Improper Use or Destruction of Equipment,,
01-01.05: courtesy,Neglect of Duty and Professionalism,,
"arrest, search, and seizure 01-01.27","Improper Stop, Search, or Arrest",,
abuse of authority,Neglect of Duty and Professionalism,,
01-01: unsatisfactory performanceb,Neglect of Duty and Professionalism,,
"01-01.27: arrest, search, and seizure","Improper Stop, Search, or Arrest",,
courtesy 01-01.05,Neglect of Duty and Professionalism,,
vehicle usage 04-01.05,Improper Use or Destruction of Equipment,,
01-d1.05: courtesye,"Improper Stop, Search, or Arrest",,
reporting for duty 01-01.11,Neglect of Duty and Professionalism,,
03-019.01: personal use of social media,Neglect of Duty and Professionalism,,
social media,Neglect of Duty and Professionalism,,
01-01.35: relations with other commissioned officers,Neglect of Duty and Professionalism,,
01-01.12: neglect of duty,Neglect of Duty and Professionalism,,
01-01.1: unsatisfactory performanced,Neglect of Duty and Professionalism,,
01-01.04: conformance to laws,Engaging in Criminal Activity,,
other,Other Allegation,,
04-01.06: vehicle use limitations,Improper Use or Destruction of Equipment,,
emergency response codes 05-01.01,Other Allegation,,
use of drugs 01-01.23,Engaging in Criminal Activity,,
01-01.14: unsatisfactory performance,Neglect of Duty and Professionalism,,
treatment of prisioners in custody 01-01.28,Neglect of Duty and Professionalism,,
01-01.14: unsatisfactory performanceb,Neglect of Duty and Professionalism,,
notification for illness or injury 01-01.13,Other Allegation,,
01-01.17: false statements,Falsifying Statements and Reports,,
personal use of social media 03-19.01,Neglect of Duty and Professionalism,,
unsatisfactory performance 01-01.04,Neglect of Duty and Professionalism,,
01-01.1: dissemination of information,Neglect of Duty and Professionalism,,
04-03.04: use of firearms,Excessive Use of Force,,
vehicle maintenace and care 04-01.07,Improper Use or Destruction of Equipment,,
01-01.35: officers,Other Allegation,,
01-01.1: unsatisfactory performanceb,Neglect of Duty and Professionalism,,
retaliation is prohibited 03-06.02,Engaging in Criminal Activity,,
01-01.42: associations,Other Allegation,,
01-01.14: unsatisfactory performanced,Neglect of Duty and Professionalism,,
conduct unbecoming 10-01.06,Neglect of Duty and Professionalism,,
01-01.48: mechanically recording conversations,Engaging in Criminal Activity,,
01-01.0: courtesy,Neglect of Duty and Professionalism,,
courtesty 01-01.05,Neglect of Duty and Professionalism,,
Courtesy,Neglect of Duty and Professionalism,,
Detail Infraction,Other Allegation,,
Detail Prociedures,Other Allegation,,
1st degree rape and malfeasance in office,Sexual Misconduct and Harassment,,
unfavorable public conduct,Neglect of Duty and Professionalism,,
careless operation,Improper Use or Destruction of Equipment,,
theft by cashing paycheck twice,Engaging in Criminal Activity,,
conduct unbecoming an officer-running errands,Neglect of Duty and Professionalism,,
police brutality,Excessive Use of Force,,
108 - failure to carry out orders regarding 230 towing and impound,Neglect of Duty and Professionalism,,
bar fight,Engaging in Criminal Activity,,
rude/discourteous,Neglect of Duty and Professionalism,,
commision or omission of any act to the prejudice of the department service contrary to the public interest or policy,Neglect of Duty and Professionalism,,
108 - failure to carry out orders regarding 151 body cam,Improper Use or Destruction of Equipment,,
internal affairs investigation,Other Allegation,,
command of temper/respect of fellow officer,Neglect of Duty and Professionalism,,
physical altercation,Excessive Use of Force,,
intoxicated,Engaging in Criminal Activity,,
unlawful and unethical activity,Neglect of Duty and Professionalism,,
conduct unbecoming an officer-officer misconduct,Neglect of Duty and Professionalism,,
use only force necessary,Excessive Use of Force,,
use of force/theft and illegal search,Excessive Use of Force,,
conduct unbecoming an officer an officer,Neglect of Duty and Professionalism,,
denied waiver,Other Allegation,,
social media policy,Neglect of Duty and Professionalism,,
racial slurs,Racial Profiling and Discrimination,,
conduct unbecoming an officer-harassed/threatened,Neglect of Duty and Professionalism,,
threatening,Neglect of Duty and Professionalism,,
activation of the body cam,Improper Use or Destruction of Equipment,,
intimation with taser,Improper Use or Destruction of Equipment,,
use of force continuum,Excessive Use of Force,,
requiring activation of body worn video,Improper Use or Destruction of Equipment,,
conduct unbecoming an officer-rude/discourteous,Neglect of Duty and Professionalism,,
conduct unbecoming an officer-flashing badge attempting to get somone admitted into a bar,Neglect of Duty and Professionalism,,
excessive force-assault,Excessive Use of Force,,
violation of rights,Engaging in Criminal Activity,,
excessive force-during an arrest,Excessive Use of Force,,
non-lethal force-alleged causing injury,Excessive Use of Force,,
non-lethal force-alleged choke hold,Excessive Use of Force,,
racial slurs/respect fellow member,Racial Profiling and Discrimination,,
violation of civil rights,Racial Profiling and Discrimination,,
illegally towing vehicle/making racial slur,Racial Profiling and Discrimination,,
excessive force-use of taser,Excessive Use of Force,,
conduct unbecoming an officer carrying out orders,Neglect of Duty and Professionalism,,
conduct unbecoming an officer-alleged simple assault,Excessive Use of Force,,
aggressive at traffic stop,Neglect of Duty and Professionalism,,
improper arrest,"Improper Stop, Search, or Arrest",,
racial harrassment,Racial Profiling and Discrimination,,
action on a traffic stop,Neglect of Duty and Professionalism,,
rules of conduct,Neglect of Duty and Professionalism,,
harrassment and assault,Sexual Misconduct and Harassment,,
taser use and reporting,Excessive Use of Force,,
Policy Violation,Neglect of Duty and Professionalism,,
disobedience of orders,Neglect of Duty and Professionalism,,
video,Other Allegation,,
courtesy,Neglect of Duty and Professionalism,,
fitness for duty,Neglect of Duty and Professionalism,,
adherence to law,Engaging in Criminal Activity,,
late for duty,Neglect of Duty and Professionalism,,
article 105: operation of department vehicles,Improper Use or Destruction of Equipment,,
audio recording equipment,Improper Use or Destruction of Equipment,,
article 64: neglect of duty,Neglect of Duty and Professionalism,,
operation of department vehicle,Improper Use or Destruction of Equipment,,
article 29: adherence to law,Engaging in Criminal Activity,,
operation department vehicle,Improper Use or Destruction of Equipment,,
false or inaccurate report,Falsifying Statements and Reports,,
52 week sick leave,Neglect of Duty and Professionalism,,
care of department property,Neglect of Duty and Professionalism,,
immoral conduct,Neglect of Duty and Professionalism,,
use of weapon,Excessive Use of Force,,
absence without leave,Neglect of Duty and Professionalism,,
evidence property contral,Mishandling Evidence,,
mobile video audio recording equipment,Improper Use or Destruction of Equipment,,
control of prisoner while transporting,Neglect of Duty and Professionalism,,
social networking,Neglect of Duty and Professionalism,,
article 39: intimidation,Neglect of Duty and Professionalism,,
self identification,Neglect of Duty and Professionalism,,
"property, equipment and uniforms",Improper Use or Destruction of Equipment,,
